Date,variable,concentration_linear,daily_flux_linear,concentration_logqc,daily_flux_logqc,concentration_sensor,daily_flux_sensor,concentration_qc,daily_flux_qc
4/12/17,SPM,1.82,849.77,2.19,1022.85,43.36,842.15,1.51,702.24
4/12/17,DOC,5.57,2597.25,5.76,2685.59,139.35,2706.80,5.23,2436.47
4/13/17,SPM,1.86,878.97,1.72,815.69,43.13,851.28,1.51,716.04
4/13/17,DOC,5.57,2637.26,5.63,2664.44,139.78,2758.74,5.23,2477.02
4/14/17,SPM,1.89,903.40,1.70,815.50,43.11,859.16,1.52,724.73
4/14/17,DOC,5.56,2661.69,5.37,2568.45,138.02,2750.99,5.23,2502.47
4/15/17,SPM,1.92,910.09,1.72,815.69,43.06,849.74,1.51,716.03
4/15/17,DOC,5.56,2633.84,5.63,2664.57,138.42,2731.73,5.23,2476.98
4/16/17,SPM,1.95,916.36,1.74,815.88,43.09,841.93,1.51,707.26
4/16/17,DOC,5.56,2605.73,5.90,2766.46,135.76,2652.34,5.23,2451.22
4/17/17,SPM,1.99,957.25,1.53,738.52,43.01,863.24,1.52,730.99
4/17/17,DOC,5.55,2675.27,5.43,2616.11,135.82,2726.18,5.23,2520.74
4/18/17,SPM,2.02,1033.20,2.84,1451.51,42.95,915.31,1.54,786.98
4/18/17,DOC,5.55,2838.75,5.26,2691.07,135.88,2895.82,5.24,2682.62
4/19/17,SPM,2.05,1058.11,3.08,1588.14,43.41,932.30,1.54,794.49
4/19/17,DOC,5.55,2858.80,5.19,2674.97,133.41,2865.08,5.25,2704.13
4/20/17,SPM,2.09,1057.62,2.42,1226.54,46.08,973.49,1.54,778.61
4/20/17,DOC,5.54,2810.67,5.35,2714.73,130.68,2761.00,5.24,2658.61
4/21/17,SPM,2.12,1045.97,1.48,729.33,44.90,923.73,1.53,753.40
4/21/17,DOC,5.54,2734.82,5.65,2789.09,130.46,2683.80,5.24,2585.88
4/22/17,SPM,2.15,995.59,2.87,1329.02,43.52,839.20,1.50,695.98
4/22/17,DOC,5.54,2561.70,5.60,2589.42,131.77,2540.73,5.23,2417.99
4/23/17,SPM,2.18,966.83,1.50,663.30,43.80,807.86,1.49,659.37
4/23/17,DOC,5.53,2448.69,5.16,2283.17,128.46,2369.17,5.22,2309.23
4/24/17,SPM,2.22,962.89,1.13,492.76,43.88,794.10,1.48,644.37
4/24/17,DOC,5.53,2401.01,4.98,2163.53,128.00,2316.16,5.21,2264.27
4/25/17,SPM,2.25,947.11,0.72,302.48,43.47,762.40,1.47,620.57
4/25/17,DOC,5.53,2325.69,4.70,1980.51,129.45,2270.38,5.21,2192.40
4/26/17,SPM,2.28,927.05,0.67,273.60,43.65,738.65,1.46,594.39
4/26/17,DOC,5.52,2242.21,4.73,1922.71,129.10,2184.50,5.20,2112.65
4/27/17,SPM,2.32,903.91,0.82,319.47,43.84,713.06,1.45,566.96
4/27/17,DOC,5.52,2153.83,4.97,1939.81,128.13,2083.99,5.20,2028.21
4/28/17,SPM,2.35,993.27,0.77,325.56,43.71,770.27,1.48,624.09
4/28/17,DOC,5.51,2332.13,4.75,2007.06,130.29,2296.00,5.21,2203.08
4/29/17,SPM,2.38,3163.56,1.82,2421.96,47.00,2601.32,2.12,2815.39
4/29/17,DOC,5.51,7320.60,4.82,6396.47,127.80,7074.14,5.57,7403.68
4/30/17,SPM,2.41,5255.61,2.03,4425.91,48.68,4415.51,2.72,5926.46
4/30/17,DOC,5.51,11988.39,5.48,11937.03,131.11,11891.94,5.91,12874.98
5/1/17,SPM,2.45,3799.00,2.30,3569.52,46.79,3026.77,2.28,3537.28
5/1/17,DOC,5.50,8543.86,6.28,9743.19,133.71,8648.82,5.66,8791.86
5/2/17,SPM,2.48,3084.66,2.48,3084.66,45.65,2365.95,2.06,2561.24
5/2/17,DOC,5.50,6840.97,5.50,6840.97,135.08,7000.62,5.54,6889.77
5/3/17,SPM,2.48,2715.06,1.58,1733.48,44.95,2051.02,1.95,2138.96
5/3/17,DOC,5.54,6065.21,6.44,7053.26,134.96,6157.64,5.48,5999.91
