datetime,value,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,unit,correction,quality
2015-07-06 11:00:00+00:00,3.371938,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-07 11:00:00+00:00,3.308192,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-08 11:00:00+00:00,3.373263,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-09 11:00:00+00:00,3.704249,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-10 11:00:00+00:00,3.612507,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-11 11:00:00+00:00,3.354441,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-12 11:00:00+00:00,3.245964,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-13 11:00:00+00:00,3.174909,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-14 11:00:00+00:00,2.540615,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-15 11:00:00+00:00,2.464275,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-16 11:00:00+00:00,2.51598,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-17 11:00:00+00:00,2.468185,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-18 11:00:00+00:00,2.43522,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-19 11:00:00+00:00,2.356878,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-20 11:00:00+00:00,2.338208,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-21 11:00:00+00:00,2.350805,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-07-22 11:00:00+00:00,2.348375,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
